"Statistic Label","Year","County","Species","Forest Owner","UNIT","VALUE"
"Afforestation Area","2023","Co. Laois","Broadleaf","Non-Farmer","Hectares","8"
"Afforestation Area","2023","Co. Laois","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Laois","Conifer","Total Afforestation","Hectares","13"
"Afforestation Area","2023","Co. Laois","Conifer","Farmer","Hectares",""
"Afforestation Area","2023","Co. Laois","Conifer","Non-Farmer","Hectares","13"
"Afforestation Area","2023","Co. Laois","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Leitrim","Total Afforestation","Total Afforestation","Hectares","102"
"Afforestation Area","2023","Co. Leitrim","Total Afforestation","Farmer","Hectares","31"
"Afforestation Area","2023","Co. Leitrim","Total Afforestation","Non-Farmer","Hectares","71"
"Afforestation Area","2023","Co. Leitrim","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Leitrim","Broadleaf","Total Afforestation","Hectares","54"
"Afforestation Area","2023","Co. Leitrim","Broadleaf","Farmer","Hectares","23"
"Afforestation Area","2023","Co. Leitrim","Broadleaf","Non-Farmer","Hectares","32"
"Afforestation Area","2023","Co. Leitrim","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Leitrim","Conifer","Total Afforestation","Hectares","48"
"Afforestation Area","2023","Co. Leitrim","Conifer","Farmer","Hectares","8"
"Afforestation Area","2023","Co. Leitrim","Conifer","Non-Farmer","Hectares","40"
"Afforestation Area","2023","Co. Leitrim","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Limerick","Total Afforestation","Total Afforestation","Hectares","29"
"Afforestation Area","2023","Co. Limerick","Total Afforestation","Farmer","Hectares","14"
"Afforestation Area","2023","Co. Limerick","Total Afforestation","Non-Farmer","Hectares","15"
"Afforestation Area","2023","Co. Limerick","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Limerick","Broadleaf","Total Afforestation","Hectares","15"
"Afforestation Area","2023","Co. Limerick","Broadleaf","Farmer","Hectares","5"
"Afforestation Area","2023","Co. Limerick","Broadleaf","Non-Farmer","Hectares","10"
"Afforestation Area","2023","Co. Limerick","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Limerick","Conifer","Total Afforestation","Hectares","14"
"Afforestation Area","2023","Co. Limerick","Conifer","Farmer","Hectares","8"
"Afforestation Area","2023","Co. Limerick","Conifer","Non-Farmer","Hectares","6"
"Afforestation Area","2023","Co. Limerick","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Longford","Total Afforestation","Total Afforestation","Hectares","64"
"Afforestation Area","2023","Co. Longford","Total Afforestation","Farmer","Hectares","57"
"Afforestation Area","2023","Co. Longford","Total Afforestation","Non-Farmer","Hectares","7"
"Afforestation Area","2023","Co. Longford","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Longford","Broadleaf","Total Afforestation","Hectares","41"
"Afforestation Area","2023","Co. Longford","Broadleaf","Farmer","Hectares","40"
"Afforestation Area","2023","Co. Longford","Broadleaf","Non-Farmer","Hectares","1"
"Afforestation Area","2023","Co. Longford","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Longford","Conifer","Total Afforestation","Hectares","23"
"Afforestation Area","2023","Co. Longford","Conifer","Farmer","Hectares","17"
"Afforestation Area","2023","Co. Longford","Conifer","Non-Farmer","Hectares","6"
"Afforestation Area","2023","Co. Longford","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Louth","Total Afforestation","Total Afforestation","Hectares","34"
"Afforestation Area","2023","Co. Louth","Total Afforestation","Farmer","Hectares","6"
"Afforestation Area","2023","Co. Louth","Total Afforestation","Non-Farmer","Hectares","28"
"Afforestation Area","2023","Co. Louth","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Louth","Broadleaf","Total Afforestation","Hectares","21"
"Afforestation Area","2023","Co. Louth","Broadleaf","Farmer","Hectares","6"
"Afforestation Area","2023","Co. Louth","Broadleaf","Non-Farmer","Hectares","15"
"Afforestation Area","2023","Co. Louth","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Louth","Conifer","Total Afforestation","Hectares","13"
"Afforestation Area","2023","Co. Louth","Conifer","Farmer","Hectares","0"
"Afforestation Area","2023","Co. Louth","Conifer","Non-Farmer","Hectares","13"
"Afforestation Area","2023","Co. Louth","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Mayo","Total Afforestation","Total Afforestation","Hectares","131"
"Afforestation Area","2023","Co. Mayo","Total Afforestation","Farmer","Hectares","58"
"Afforestation Area","2023","Co. Mayo","Total Afforestation","Non-Farmer","Hectares","73"
"Afforestation Area","2023","Co. Mayo","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Mayo","Broadleaf","Total Afforestation","Hectares","85"
"Afforestation Area","2023","Co. Mayo","Broadleaf","Farmer","Hectares","23"
"Afforestation Area","2023","Co. Mayo","Broadleaf","Non-Farmer","Hectares","63"
"Afforestation Area","2023","Co. Mayo","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Mayo","Conifer","Total Afforestation","Hectares","45"
"Afforestation Area","2023","Co. Mayo","Conifer","Farmer","Hectares","35"
"Afforestation Area","2023","Co. Mayo","Conifer","Non-Farmer","Hectares","10"
"Afforestation Area","2023","Co. Mayo","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Meath","Total Afforestation","Total Afforestation","Hectares","54"
"Afforestation Area","2023","Co. Meath","Total Afforestation","Farmer","Hectares","16"
"Afforestation Area","2023","Co. Meath","Total Afforestation","Non-Farmer","Hectares","39"
"Afforestation Area","2023","Co. Meath","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Meath","Broadleaf","Total Afforestation","Hectares","23"
"Afforestation Area","2023","Co. Meath","Broadleaf","Farmer","Hectares","5"
"Afforestation Area","2023","Co. Meath","Broadleaf","Non-Farmer","Hectares","19"
"Afforestation Area","2023","Co. Meath","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Meath","Conifer","Total Afforestation","Hectares","31"
"Afforestation Area","2023","Co. Meath","Conifer","Farmer","Hectares","11"
"Afforestation Area","2023","Co. Meath","Conifer","Non-Farmer","Hectares","20"
"Afforestation Area","2023","Co. Meath","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Monaghan","Total Afforestation","Total Afforestation","Hectares","10"
"Afforestation Area","2023","Co. Monaghan","Total Afforestation","Farmer","Hectares","2"
"Afforestation Area","2023","Co. Monaghan","Total Afforestation","Non-Farmer","Hectares","7"
"Afforestation Area","2023","Co. Monaghan","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Monaghan","Broadleaf","Total Afforestation","Hectares","6"
"Afforestation Area","2023","Co. Monaghan","Broadleaf","Farmer","Hectares","1"
"Afforestation Area","2023","Co. Monaghan","Broadleaf","Non-Farmer","Hectares","6"
"Afforestation Area","2023","Co. Monaghan","Broadleaf","Public Sector","Hectares",""
